assay_name	compound_pubchem_cid	sig_id	col_id
tox21-aromatase-p1	CID_5742631	REP.A028_MCF7_24H:J01	1
tox21-aromatase-p1	CID_17513	POL001_MCF7_24H:P07	2
tox21-aromatase-p1	CID_5284513	CPD002_MCF7_24H:BRD-K90699611-001-01-4:10	3
tox21-aromatase-p1	CID_2082	CPC015_MCF7_24H:BRD-K79131256-001-08-8:10	4
tox21-aromatase-p1	CID_443958	CPD003_MCF7_24H:D01	5
tox21-aromatase-p1	CID_34870	REP.A006_MCF7_24H:P07	6
tox21-aromatase-p1	CID_2187	REP.A007_MCF7_24H:I01	7
tox21-aromatase-p1	CID_60823	REP.A023_MCF7_24H:H01	8
tox21-aromatase-p1	CID_6450551	DPK.CP002_MCF7_24H:BRD-K29905972:10	9
tox21-aromatase-p1	CID_26098	CPD003_MCF7_24H:J07	10
tox21-aromatase-p1	CID_2265	ASG002_MCF7_24H:L22	11
tox21-aromatase-p1	CID_2320	CPD002_MCF7_24H:BRD-K02571615-001-01-8:10	12
tox21-aromatase-p1	CID_2337	CPD002_MCF7_24H:BRD-K75466013-001-10-2:10	13
tox21-aromatase-p1	CID_9782	CPC006_MCF7_24H:O03	14
tox21-aromatase-p1	CID_2378	REP.A027_MCF7_24H:F01	15
tox21-aromatase-p1	CID_2391	CPC015_MCF7_24H:BRD-K39987650-001-15-9:10	16
tox21-aromatase-p1	CID_387447	PBIOA021_MCF7_24H:O06	17
tox21-aromatase-p1	CID_40000	CPD002_MCF7_24H:BRD-A58753560-001-01-2:10	18
tox21-aromatase-p1	CID_7184	CPD003_MCF7_24H:C10	19
tox21-aromatase-p1	CID_156414	LKCP002_MCF7_24H:M07	20
tox21-aromatase-p1	CID_13789	CPD003_MCF7_24H:B05	21
tox21-aromatase-p1	CID_1548943	REP.A019_MCF7_24H:P13	22
tox21-aromatase-p1	CID_25429	LKCP002_MCF7_24H:N16	23
tox21-aromatase-p1	CID_5284533	CPD003_MCF7_24H:F19	24
tox21-aromatase-p1	CID_11289	CPD002_MCF7_24H:BRD-K27062708-001-18-1:10	25
tox21-aromatase-p1	CID_5475158	CPC018_MCF7_24H:BRD-K15522385-003-01-0:10	26
tox21-aromatase-p1	CID_37907	REP.A014_MCF7_24H:A07	27
tox21-aromatase-p1	CID_119182	LKCP001_MCF7_24H:M07	28
tox21-aromatase-p1	CID_2812	CPD001_MCF7_24H:BRD-K15916496-001-21-2:10	29
tox21-aromatase-p1	CID_5281707	CPC016_MCF7_24H:BRD-K97509413-001-01-8:10	30
tox21-aromatase-p1	CID_969516	LKCP001_MCF7_24H:P07	31
tox21-aromatase-p1	CID_6197	CPC017_MCF7_24H:BRD-A62184259-001-02-8:10	32
tox21-aromatase-p1	CID_28417	CPD001_MCF7_24H:BRD-K21401044-001-01-6:10	33
tox21-aromatase-p1	CID_30323	POL001_MCF7_24H:N01	34
tox21-aromatase-p1	CID_189821	DPK.CP002_MCF7_24H:BRD-K96006502:10	35
tox21-aromatase-p1	CID_5881	REP.A020_MCF7_24H:E07	36
tox21-aromatase-p1	CID_443375	CPC016_MCF7_24H:BRD-K31238592-001-01-6:10	37
tox21-aromatase-p1	CID_5743	CPC006_MCF7_24H:O03	14
tox21-aromatase-p1	CID_2724385	ASG002_MCF7_24H:H10	38
tox21-aromatase-p1	CID_10219	ASG002_MCF7_24H:P01	39
tox21-aromatase-p1	CID_443935	REP.A012_MCF7_24H:J19	40
tox21-aromatase-p1	CID_223368	ASG003_MCF7_24H:C16	41
tox21-aromatase-p1	CID_176870	REP.A022_MCF7_24H:G01	42
tox21-aromatase-p1	CID_3307	REP.A022_MCF7_24H:D07	43
tox21-aromatase-p1	CID_5282375	CPD002_MCF7_24H:BRD-K36248164-001-01-8:10	44
tox21-aromatase-p1	CID_6442177	DPK.CP002_MCF7_24H:BRD-K13514097:10	45
tox21-aromatase-p1	CID_60198	REP.A024_MCF7_24H:A19	46
tox21-aromatase-p1	CID_134018	CPC018_MCF7_24H:BRD-K48367671-001-01-8:10	47
